"","x"
"1",489.669819142461
"2",482.659700876825
"3",589.09281341292
"4",391.16936650664
"5",495.433003467394
"6",514.142137550289
"7",489.148740314759
"8",478.725232572261
"9",524.38854463278
"10",430.260077131888
"11",511.448250061718
"12",457.596313160152
"13",496.538571023341
"14",535.307037046864
"15",457.445089965848
"16",482.035162229996
"17",518.989257112511
"18",505.805984175839
"19",519.072469130781
"20",519.88689262603
"21",404.505914380662
"22",484.593650996572
"23",485.630240282609
"24",464.251966396188
"25",442.089891122917
"26",555.868299855412
"27",464.952632503435
"28",478.279049000442
"29",508.098809226901
"30",504.73685361098
"31",522.696514873691
"32",478.245246310566
"33",503.760643035233
"34",548.551389048209
"35",434.90062062135
"36",479.597805948323
"37",484.778592525418
"38",392.449399311222
"39",487.711943993342
"40",474.926291744302
"41",511.831626792088
"42",534.892944247222
"43",530.655541906968
"44",533.841555928108
"45",496.6386472916
