"","rules","support","confidence","coverage","lift","count"
"1","{REGENCY TEA PLATE PINK (23172)} => {REGENCY TEA PLATE GREEN  (23171)}",0.0111215107636404,0.901785714285714,0.0123327644111656,60.663458994709,202
"2","{REGENCY TEA PLATE GREEN  (23171)} => {REGENCY TEA PLATE PINK (23172)}",0.0111215107636404,0.748148148148148,0.0148653856741728,60.663458994709,202
"3","{REGENCY TEA PLATE PINK (23172)} => {REGENCY TEA PLATE ROSES  (23170)}",0.0107911688597699,0.875,0.0123327644111656,49.203173374613,196
"4","{REGENCY TEA PLATE ROSES  (23170)} => {REGENCY TEA PLATE PINK (23172)}",0.0107911688597699,0.606811145510836,0.0177834058250289,49.203173374613,196
"5","{REGENCY MILK JUG PINK  (23175)} => {REGENCY SUGAR BOWL GREEN (23174)}",0.0104057699719209,0.74703557312253,0.0139294169465397,50.8180041746236,189
"6","{REGENCY SUGAR BOWL GREEN (23174)} => {REGENCY MILK JUG PINK  (23175)}",0.0104057699719209,0.707865168539326,0.0147002147222375,50.8180041746236,189
"7","{REGENCY SUGAR BOWL GREEN (23174)} => {REGENCY TEAPOT ROSES  (23173)}",0.0107911688597699,0.734082397003745,0.0147002147222375,37.7709308124052,196
"8","{REGENCY TEAPOT ROSES  (23173)} => {REGENCY SUGAR BOWL GREEN (23174)}",0.0107911688597699,0.555240793201133,0.0194351153443814,37.7709308124052,196
"9","{FELTCRAFT CUSHION BUTTERFLY (22569)} => {FELTCRAFT CUSHION RABBIT (22570)}",0.0108462258437483,0.674657534246575,0.016076639321698,38.6555356294024,197
"10","{FELTCRAFT CUSHION RABBIT (22570)} => {FELTCRAFT CUSHION BUTTERFLY (22569)}",0.0108462258437483,0.621451104100946,0.0174530639211584,38.6555356294024,197
"11","{CHILDRENS CUTLERY DOLLY GIRL  (23254)} => {CHILDRENS CUTLERY SPACEBOY  (23256)}",0.0110113967956835,0.775193798449612,0.0142047018664318,45.7137823416893,200
"12","{CHILDRENS CUTLERY SPACEBOY  (23256)} => {CHILDRENS CUTLERY DOLLY GIRL  (23254)}",0.0110113967956835,0.649350649350649,0.0169575510653526,45.7137823416893,200
"13","{SET/6 RED SPOTTY PAPER CUPS (21086)} => {SET/6 RED SPOTTY PAPER PLATES (21094)}",0.0129934482189066,0.828070175438597,0.015691240433849,46.277657219973,236
"14","{SET/6 RED SPOTTY PAPER PLATES (21094)} => {SET/6 RED SPOTTY PAPER CUPS (21086)}",0.0129934482189066,0.726153846153846,0.0178935197929857,46.277657219973,236
"15","{SET/6 RED SPOTTY PAPER CUPS (21086)} => {SET/20 RED RETROSPOT PAPER NAPKINS  (21080)}",0.0105709409238562,0.673684210526316,0.015691240433849,16.7388868889049,192
"16","{SET/20 RED RETROSPOT PAPER NAPKINS  (21080)} => {SET/6 RED SPOTTY PAPER CUPS (21086)}",0.0105709409238562,0.26265389876881,0.0402466552882233,16.7388868889049,192
"17","{FELTCRAFT CUSHION RABBIT (22570)} => {FELTCRAFT CUSHION OWL (22568)}",0.010681054891813,0.61198738170347,0.0174530639211584,27.0450774060344,194
"18","{FELTCRAFT CUSHION OWL (22568)} => {FELTCRAFT CUSHION RABBIT (22570)}",0.010681054891813,0.472019464720195,0.0226284204151297,27.0450774060344,194
"19","{SET OF 6 SNACK LOAF BAKING CASES (23294)} => {SET OF 12 MINI LOAF BAKING CASES (23295)}",0.0105709409238562,0.662068965517241,0.0159665253537411,33.5898285494124,192
"20","{SET OF 12 MINI LOAF BAKING CASES (23295)} => {SET OF 6 SNACK LOAF BAKING CASES (23294)}",0.0105709409238562,0.536312849162011,0.0197104002642735,33.5898285494124,192
"21","{SET OF 6 SNACK LOAF BAKING CASES (23294)} => {SET OF 12 FAIRY CAKE BAKING CASES (23293)}",0.0110664537796619,0.693103448275862,0.0159665253537411,27.3076744707906,201
"22","{SET OF 12 FAIRY CAKE BAKING CASES (23293)} => {SET OF 6 SNACK LOAF BAKING CASES (23294)}",0.0110664537796619,0.436008676789588,0.0253812696140505,27.3076744707906,201
"23","{REGENCY TEA PLATE GREEN  (23171)} => {REGENCY TEA PLATE ROSES  (23170)}",0.0124979353631008,0.840740740740741,0.0148653856741728,47.276699919734,227
"24","{REGENCY TEA PLATE ROSES  (23170)} => {REGENCY TEA PLATE GREEN  (23171)}",0.0124979353631008,0.702786377708978,0.0177834058250289,47.276699919734,227
"25","{SET OF 6 TEA TIME BAKING CASES (23296)} => {SET OF 12 MINI LOAF BAKING CASES (23295)}",0.0104057699719209,0.594339622641509,0.0175081209051368,30.1536049330663,189
"26","{SET OF 12 MINI LOAF BAKING CASES (23295)} => {SET OF 6 TEA TIME BAKING CASES (23296)}",0.0104057699719209,0.527932960893855,0.0197104002642735,30.1536049330663,189
"27","{SET OF 6 TEA TIME BAKING CASES (23296)} => {SET OF 12 FAIRY CAKE BAKING CASES (23293)}",0.0117821945713814,0.672955974842767,0.0175081209051368,26.5138814990655,214
"28","{SET OF 12 FAIRY CAKE BAKING CASES (23293)} => {SET OF 6 TEA TIME BAKING CASES (23296)}",0.0117821945713814,0.464208242950108,0.0253812696140505,26.5138814990655,214
"29","{JUMBO BAG DOILEY PATTERNS (23203)} => {LUNCH BAG DOILEY PATTERN  (23209)}",0.0115619666354677,0.469798657718121,0.0246104718383527,18.4297041471582,210
"30","{LUNCH BAG DOILEY PATTERN  (23209)} => {JUMBO BAG DOILEY PATTERNS (23203)}",0.0115619666354677,0.453563714902808,0.0254913835820074,18.4297041471582,210
"31","{JUMBO BAG DOILEY PATTERNS (23203)} => {JUMBO BAG VINTAGE LEAF (23202)}",0.0104608269558994,0.425055928411633,0.0246104718383527,10.321244422113,190
"32","{JUMBO BAG VINTAGE LEAF (23202)} => {JUMBO BAG DOILEY PATTERNS (23203)}",0.0104608269558994,0.254010695187166,0.0411826240158564,10.321244422113,190
"33","{PINK HAPPY BIRTHDAY BUNTING (47590B)} => {BLUE HAPPY BIRTHDAY BUNTING (47590A)}",0.0138193029785828,0.705056179775281,0.0196002862963167,36.3804982763023,251
"34","{BLUE HAPPY BIRTHDAY BUNTING (47590A)} => {PINK HAPPY BIRTHDAY BUNTING (47590B)}",0.0138193029785828,0.713068181818182,0.019380058360403,36.3804982763023,251
"35","{REGENCY TEAPOT ROSES  (23173)} => {ROSES REGENCY TEACUP AND SAUCER  (22699)}",0.0102405990199857,0.526912181303116,0.0194351153443814,12.3967693640006,186
