"","x"
"1",492.73064586225
"2",472.077094397829
"3",595.539862279204
"4",463.772054678094
"5",473.754040350364
"6",506.157429706177
"7",503.199130418114
"8",488.769191329912
"9",530.157237863421
"10",447.874420172122
"11",476.280522642207
"12",434.271044483434
"13",443.737376780129
"14",383.17076276407
"15",452.624047768181
"16",474.645101254437
"17",477.761830860296
"18",492.427483005329
"19",545.829684438201
"20",555.931661379283
"21",512.610564090768
"22",506.848838988088
"23",543.344702237452
"24",520.642595214495
"25",516.199422482393
"26",561.851024010604
"27",486.021768478395
"28",462.055537534239
"29",472.991134327473
"30",433.409969115299
"31",454.826035701992
"32",480.239335953671
"33",516.746621037741
"34",566.14432567674
"35",499.597666434283
"36",496.641030760504
"37",448.638396486841
"38",376.942966984455
"39",427.175045323038
"40",406.050224637602
"41",478.270290999353
"42",534.632462832176
"43",560.35972259788
"44",577.685221858862
"45",525.692510249511
"46",543.860692087217
"47",501.248324686142
"48",482.771932313811
