"rules","support","confidence","coverage","lift","count"
"{22730} => {22727}",0.0166822661454606,0.655844155844156,0.025436326598029,13.7553087789808,303
"{22727} => {22730}",0.0166822661454606,0.349884526558891,0.0476793481253097,13.7553087789808,303
"{22617} => {22138}",0.0167923801134174,0.731414868105516,0.0229587623190002,15.8528499396187,305
"{22138} => {22617}",0.0167923801134174,0.363961813842482,0.046137752573914,15.8528499396187,305
"{23200} => {23199}",0.0167923801134174,0.651709401709402,0.0257666685018995,16.9584496608136,305
"{23199} => {23200}",0.0167923801134174,0.436962750716332,0.0384297748169355,16.9584496608136,305
"{22698} => {22697}",0.0241700159665254,0.820560747663551,0.0294554864284534,21.8211491358903,439
"{22697} => {22698}",0.0241700159665254,0.642752562225476,0.0376039200572593,21.8211491358903,439
"{22698} => {22699}",0.0227935913670649,0.773831775700935,0.0294554864284534,18.2060965570675,414
"{22699} => {22698}",0.0227935913670649,0.536269430051813,0.0425039916313384,18.2060965570675,414
"{22698} => {22423}",0.015691240433849,0.532710280373832,0.0294554864284535,6.01717464081462,285
"{22423} => {22698}",0.015691240433849,0.177238805970149,0.0885316302372956,6.01717464081462,285
"{22866} => {22865}",0.0152507845620217,0.58936170212766,0.0258767824698563,19.1495109047311,277
"{22865} => {22866}",0.0152507845620217,0.495527728085868,0.0307768540439355,19.1495109047311,277
"{21928} => {85099B}",0.0169024940813742,0.582542694497154,0.0290150305566261,6.87953378423394,307
"{85099B} => {21928}",0.0169024940813742,0.199609882964889,0.0846776413588064,6.87953378423394,307
"{22835} => {22112}",0.0155811264658922,0.570564516129032,0.0273082640532952,14.9110263402181,283
"{22112} => {22835}",0.0155811264658922,0.407194244604317,0.0382646038650003,14.9110263402181,283
"{22804} => {85123A}",0.016076639321698,0.724565756823821,0.0221879645433023,6.850748485784,292
"{85123A} => {22804}",0.016076639321698,0.152004164497657,0.10576446622254,6.850748485784,292
"{23322} => {23321}",0.0152507845620217,0.549603174603175,0.0277487199251225,17.181484441166,277
"{23321} => {23322}",0.0152507845620217,0.476764199655766,0.0319881076914607,17.181484441166,277
"{21755} => {21754}",0.0150856136100864,0.495479204339964,0.030446512140065,13.0615221892986,274
"{21754} => {21755}",0.0150856136100864,0.397677793904209,0.0379342619611298,13.0615221892986,274
"{22578} => {22577}",0.0175631778891152,0.736720554272517,0.0238396740626548,28.9007676614508,319
"{22577} => {22578}",0.0175631778891152,0.688984881209503,0.0254913835820074,28.9007676614508,319
"{85099C} => {85099B}",0.0190497164565325,0.542319749216301,0.0351263557782305,6.40452119962008,346
"{85099B} => {85099C}",0.0190497164565325,0.224967490247074,0.0846776413588064,6.40452119962008,346
"{20719} => {20724}",0.0157462974178275,0.554263565891473,0.0284094037328635,13.7905330784751,286
"{20724} => {20719}",0.0157462974178275,0.391780821917808,0.0401915983042449,13.7905330784751,286
"{22356} => {20724}",0.0171777790012663,0.665245202558635,0.0258217254858779,16.5518474165377,312
"{20724} => {22356}",0.0171777790012663,0.427397260273973,0.0401915983042449,16.5518474165377,312
