Designation,Gender,CollegeTier,collegeGPA,CollegeCityTier,English,Logical,Quant,Domain,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience
Applications and Systems Programmers,m,2,88.8,1,445,495,625,0.901489571,-0.3205,0.616463233,0.773995798,-1.890897115,-1.324229685
Applications and Systems Programmers,m,2,53.01,1,450,595,500,0.413838256,-0.3995,0.510929817,0.816783698,-2.193727567,-0.834538464
Applications and Systems Programmers,m,2,56,0,325,335,390,0.356536488,-0.1239,0.107840199,-0.304826176,2.260164167,-1.145276684
Applications and Systems Programmers,m,2,57.34,0,615,495,380,0.486747008,-1.2311,0.522083486,0.333430824,-2.213271984,-1.404950056
Applications and Systems Programmers,m,2,58.2,0,415,395,415,0.074546265,1.2845,-0.809210713,0.202253268,-1.605207635,-0.67324492
Applications and Systems Programmers,m,2,58.61,0,645,795,675,0.983749967,-1.0308,0.751662937,0.892409288,-1.955846067,-0.031208491
Applications and Systems Programmers,m,2,58.66,1,405,585,334,0.308400583,-1.0478,0.577250494,0.081463635,-2.979253314,0.759810556
Applications and Systems Programmers,m,2,60.13,0,445,465,355,0.635978756,-1.0581,0.37225727,0.097151322,-1.570426123,-1.242027967
Applications and Systems Programmers,f,2,60.81,0,275,485,475,0.338786347,-1.0395,-0.756095689,0.95054213,-1.734822426,-1.231330038
Applications and Systems Programmers,f,2,60.87,0,555,610,650,0.538386893,0.8275,-0.377559467,-0.753072273,-1.888827729,-0.658168854
Applications and Systems Programmers,m,2,61,0,585,405,505,0.635978756,-1.0291,0.913499384,0.739598927,-1.646652342,-0.809372885
Applications and Systems Programmers,m,2,61,1,615,525,680,0.376059587,-1.0863,0.108257307,0.036618257,-1.757438987,-0.628075641
Applications and Systems Programmers,m,2,61.2,0,495,575,625,0.983749967,-0.1743,-0.010188929,0.970165727,-2.411943131,0.555843274
Applications and Systems Programmers,m,1,61.2,0,780,505,510,0.842248322,-0.5082,-0.824492111,0.317527867,-2.567875562,-0.784073254
Applications and Systems Programmers,m,2,61.5,0,605,520,325,0.338786347,-0.866,0.96692965,0.76878192,-2.915820099,-0.454088471
Applications and Systems Programmers,m,2,61.6,0,640,570,495,0.356536488,0.7543,0.714664977,0.445880065,-1.744280528,0.39874747
Applications and Systems Programmers,m,2,62,0,385,595,454,0.704090412,-0.3778,-0.802032956,0.588787223,2.788446706,-0.120246205
Applications and Systems Programmers,m,1,62,0,555,645,635,0.336185066,-1.4619,0.438513717,-0.188340358,-1.986634113,-0.181447541
Applications and Systems Programmers,m,2,62,1,430,545,535,0.356536488,-0.4942,0.809556643,0.661380378,-2.319794147,-0.081392834
Applications and Systems Programmers,m,2,62,0,595,530,630,0.279258512,-0.3079,0.941724428,0.823181437,-2.295585887,-1.427385147
Applications and Systems Programmers,m,2,62.37,0,455,505,330,0.978799293,-0.7456,-0.779102358,0.418987741,-1.821372239,-0.706618599
Applications and Systems Programmers,m,2,62.71,0,560,520,370,0.649389715,-0.4995,0.899057804,0.501714707,1.722915724,-1.189760953
Applications and Systems Programmers,m,2,62.9,0,755,610,650,0.783303537,-1.3333,0.061250401,0.288497756,-1.532449966,-0.73666795
Applications and Systems Programmers,m,2,63,0,615,595,565,0.670743151,1.2411,0.745408902,0.598413586,-2.378943539,-0.731956844
Applications and Systems Programmers,m,2,63,0,580,435,385,0.538386893,-1.2876,0.201237769,0.682870435,-2.04749753,0.211157197
Applications and Systems Programmers,m,1,63,0,475,575,605,0.486747008,-0.3893,0.660669705,0.8329038,-2.015573238,-0.779763505
Applications and Systems Programmers,m,2,63,0,335,485,410,0.053160305,-0.8989,0.621627159,0.122146437,1.50519822,-0.313707617
Applications and Systems Programmers,m,2,63,0,640,470,390,0.622642916,-0.4006,0.626853811,0.028005159,-1.796290467,-1.274522548
Applications and Systems Programmers,f,2,63.58,0,405,485,605,0.338786347,0.209,0.920526905,-0.625480015,-2.563566403,0.386876647
Applications and Systems Programmers,m,2,63.74,0,710,495,535,0.953899775,-1.1174,0.035374252,0.920186667,-1.863056989,-1.383824127
Applications and Systems Programmers,m,1,63.88,1,425,485,405,0.735795709,-1.1528,0.949692817,0.715937332,-2.863841279,-0.620330252
Applications and Systems Programmers,m,2,64,0,615,555,355,0.115022726,1.0552,0.484320847,0.084430142,-2.349075041,-0.317741388
Applications and Systems Programmers,m,2,64.06,0,485,525,545,0.338786347,-0.8082,0.926589874,0.804609084,-2.441917207,-0.712523067
Applications and Systems Programmers,m,2,64.15,0,455,394,435,0.600057182,-0.6679,0.218907188,0.521118501,-2.924837244,-1.488761677
Applications and Systems Programmers,m,2,64.2,1,500,525,380,0.744758354,-0.3538,0.823136334,0.089380588,-2.32061728,-0.9516029
Applications and Systems Programmers,m,2,64.3,1,555,545,650,0.735795709,-0.7686,-0.833180996,0.913183525,-2.211071386,0.47575712
Applications and Systems Programmers,m,2,64.8,0,485,555,605,0.414337426,-0.9055,0.558199645,0.01082137,-1.644007281,-0.513291298
Applications and Systems Programmers,m,2,64.8,0,510,510,575,0.990008757,-0.281,0.623304985,0.112809706,-2.232029194,1.051245998
Applications and Systems Programmers,m,1,64.97,0,465,595,735,0.930370607,-0.5311,0.17768838,0.942474292,-2.946148363,-0.030036452
Applications and Systems Programmers,m,2,65,1,465,375,585,0.985461394,-1.2419,-0.535446732,0.941613619,-1.783930618,-0.449906137
Applications and Systems Programmers,m,2,65,0,525,455,535,0.308400583,-0.2209,-0.127948233,0.636922358,-2.597872709,-1.472429665
Applications and Systems Programmers,f,2,65,0,465,395,515,0.824666401,-1.4365,0.885974055,0.241252053,1.711704511,0.099907877
Applications and Systems Programmers,m,2,65,0,615,555,645,0.901489571,0.8035,0.344438068,0.433457095,-1.658280265,-0.625275428
Applications and Systems Programmers,m,2,65,0,465,505,515,0.535862819,-1.0673,0.404982582,0.865820122,-1.987409769,-1.36137963
